locality,state
Liberty,MI
Lima,MI
Lindon,MI
Litchfield,MI
Livonia,MI
Locke,MI
Lodi,MI
London,MI
Lowell,MI
Ludington,MI
Lynn,MI
Lyon,MI
Lyons,MI
Mackinak,MI
Macomb,MI
Manchester,MI
Manistee,MI
Manlius,MI
Maple Grove,MI
Marathon,MI
Marcellus,MI
Marengo,MI
Marion,MI
Marquette,MI
Marshall,MI
Martin,MI
Mason,MI
Matteson,MI
Medina,MI
Megeezee,MI
Mendon,MI
Meridian,MI
Metamora,MI
Middlebury,MI
Midland,MI
Milan,MI
Milford,MI
Milton,MI
Monguagon,MI
Monroe,MI
Monroe City,MI
Montcalm,MI
Monterey,MI
Montrose,MI
Moscow,MI
Mottville,MI
Mount Clemens,MI
Mount Morris,MI
Mundy,MI
Muskegon,MI
Mussey,MI
Nankin,MI
Napoleon,MI
Neguanee,MI
Nelson,MI
New Buffalo,MI
New Haven,MI
Newark,MI
Newburgh,MI
Newton,MI
Niles,MI
Niles City,MI
Noble,MI
North Branch,MI
North Plains,MI
North Shade,MI
North Star,MI
Northfield,MI
Northport,MI
Novi,MI
Oakfield,MI
Oakland,MI
Oceana,MI
Odessa,MI
Ogden,MI
Olive,MI
Olivet,MI
Oneida,MI
Onondaga,MI
Ontwa,MI
Orange,MI
Orangeville,MI
Oranokogo,MI
Orchard Lake,MI
Oregon,MI
Orion,MI
Orleans,MI
Osceola,MI
Oshtemo,MI
Otisco,MI
Otsego,MI
Ottawa,MI
Overisel,MI
Ovid,MI
Owasso,MI
Owosso,MI
Oxford,MI
Palmyra,MI
Paris,MI
Park,MI
Parma,MI
Pavillion,MI
Peninsula,MI
Penn,MI
Pennfield,MI
Perry,MI
Pine Grove,MI
Pine Plains,MI
Pine River,MI
Pipestone,MI
Pittsfield,MI
Pittsford,MI
Plainfield,MI
Plainwell,MI
Plymouth,MI
Pokagon,MI
Polkton,MI
Pontiac,MI
Port Huron,MI
Portage,MI
Porter,MI
Portland,MI
Prairie Ronde,MI
Prairieville,MI
Pulaski,MI
Putnam,MI
Quincy,MI
Raisin,MI
Raisinville,MI
Ransom,MI
Ravenna,MI
Ray,MI
Reading,MI
Redford,MI
Richfield,MI
Richland,MI
Richmond,MI
Ridgeway,MI
Riga,MI
Riley,MI
Rives,MI
Robinson,MI
Rochester,MI
Rockland,MI
Rodney,MI
Rogers,MI
Rollin,MI
Rome,MI
Romulus,MI
Ronald,MI
Rose,MI
Ross,MI
Roxand,MI
Royal Oak,MI
Royalton,MI
Rubicon,MI
Rush,MI
Rutland,MI
Saginaw,MI
Saginaw City,MI
Salem,MI
Saline,MI
Sand Beach,MI
Sandstone,MI
Sanilac,MI
Saulte Ste. Marie,MI
Schoocraft,MI
Scipio,MI
Sebewaing,MI
Seneca,MI
Seweba,MI
Sharon,MI
Shelby,MI
Sheridan,MI
Sherman,MI
Sherwood,MI
Shiawassee,MI
Siddons,MI
Silver Creek,MI
Solon,MI
Somerset,MI
South Haven,MI
Southfield,MI
Sparta,MI
Speaker,MI
Spring Arbor,MI
Spring Lake,MI
Spring?,MI
Springfield,MI
Springport,MI
Springwells,MI
St. Charles,MI
St. Clair,MI
St. Clair City,MI
St. Ignace,MI
St. John's,MI
St. Joseph,MI
Sterling,MI
Stockbridge,MI
Stronach,MI
Sturgis,MI
Summerfield,MI
Summir,MI
Sumner,MI
Sumpter,MI
Sunfield,MI
Superior,MI
Sylvan,MI
Tallmadge,MI
Taylor,MI
Taymouth,MI
Tecumseh,MI
Tekonsha,MI
Texas,MI
Thetford,MI
Thomastown,MI
Thornapple,MI
Three Oaks,MI
Three Rivers,MI
Tittabawassee,MI
Tompkins,MI
Traverse,MI
Traverse City,MI
Trowbridge,MI
Troy,MI
Tuscola,MI
Tyrone,MI
Unadilla,MI
Union,MI
Union City,MI
Van Buren,MI
Vanderbilt,MI
Venice,MI
Vermontville,MI
Vernon,MI
Vevay,MI
Victor,MI
Vienna,MI
Volinia,MI
Wakeshma,MI
Wales,MI
Walker,MI
Walton,MI
Warren,MI
Washington,MI
Waterford,MI
Waterloo,MI
Watertown,MI
Watervliet,MI
Watson,MI
Waverly,MI
Wayland,MI
Wayne,MI
Webster,MI
Weesaw,MI
West Bloomfield,MI
Westphalia,MI
Wheatfield,MI
Wheatland,MI
White Lake,MI
White Oak,MI
White Pigeon,MI
White River,MI
Whiteford,MI
Williams,MI
Williamstown,MI
Windsor,MI
Wisner,MI
Woodbridge,MI
Woodhull,MI
Woodland,MI
Woodstock,MI
Worth,MI
Wright,MI
Wyandotte,MI
Wyoming,MI
York,MI
Ypsilanti,MI
Zeeland,MI
Zilwaukee,MI
NA,MI
Anoka,MN
Austin,MN
Berlin,MN
Blue Earth City,MN
Brainerd,MN
Cambridge,MN
Carlstadt,MN
Carver,MN
Chatfrield,MN
Collegeville,MN
Dover Center,MN
Duluth,MN
Fabault?,MN
Fairbault,MN
Fairboult,MN
Faribault,MN
Farmington,MN
Fergus Falls,MN
Fremont,MN
Glencoe,MN
Goodhue,MN
Grand Meadow,MN
Hastings,MN
Hokah,MN
Hutchinson,MN
Jackson,MN
Lake City,MN
Lanesboro,MN
Litchfield,MN
Mankato,MN
Mantorville,MN
Mininger,MN
Minneapolis,MN
Minnesota City,MN
New Ulm,MN
Northfield,MN
Owatonna,MN
Owatowa,MN
Plainview,MN
Preston,MN
Red Wing,MN
Rochester,MN
Rushford,MN
Saint Cloud,MN
Sauk Center,MN
Sibley,MN
Smithfield,MN
Spring Valley,MN
St. Anthony,MN
St. Cloud,MN
St. Joseph,MN
St. Paul,MN
St. Paul's,MN
St. Peter,MN
Stillwater,MN
Taylor's Falls,MN
Union,MN
Wabasha,MN
Waseca,MN
White Bear,MN
Winona,MN
Worthington,MN
Zumbrota,MN
Barrens,MO
Boonville,MO
Bowling Green,MO
Brunswick,MO
Canton,MO
Cape Girardeau,MO
Cape Girardequ,MO
Carondelet City,MO
Carrollton,MO
College Mound,MO
Columbia,MO
Fayette,MO
Franklin,MO
Fulton,MO
Glasgow,MO
Greenwood,MO
Hannibal,MO
Hillsboro,MO
Independence,MO
Jefferson City,MO
Jefferson?,MO
Kansas City,MO
Kidder,MO
La Grange,MO
Lexington,MO
Liberty,MO
Maryville,MO
May View,MO
Mexico,MO
Moberly,MO
Oregon,MO
Palmyra,MO
Parkville,MO
Rolla,MO
Sedalia,MO
Springfield,MO
St Louis,MO
St. Charles,MO
St. Joseph,MO
St. Joseph's,MO
St. Louis,MO
Troy,MO
Aberdeen,MS
Adams,MS
Attala County,MS
Canton,MS
Clinton,MS
Garlandsville,MS
Greene County,MS
Holly Springs,MS
Holy Springs,MS
Jackson,MS
Kosciusko,MS
Liberty,MS
Louisville,MS
Meridian Springs,MS
Natchez,MS
Oakland,MS
Oxford,MS
Pike,MS
Pontotoc,MS
Port Gibson,MS
Rodney,MS
Sharon,MS
Springville,MS
Tchula,MS
Washington,MS
Woodville,MS
Yazoo City,MS
Camp Baker,MT
Ft. Ellis,MT
Ft. Shaw,MT
Helena,MT
Albemarle?,NC
Asheville,NC
Bath,NC
Beaufort,NC
Brunswick,NC
Cape Fear,NC
Chapel Hill,NC
Charlotte,NC
Chowan,NC
Currituck,NC
Davidson,NC
Davidson County,NC
Edenton,NC
Edgecombe,NC
Fayeteville,NC
Fayetteville,NC
Forestville,NC
Greensboro,NC
Guildford,NC
Guilford,NC
Happy Home,NC
Hillsboro,NC
Hookerton,NC
Iredell Co.,NC
Iredell County,NC
Lenoir,NC
Lincoln County,NC
Mechlenberg County,NC
Mecklenburg,NC
Mt. Pleasant,NC
Nazareth,NC
New Garden,NC
New Salem,NC
Newbern,NC
Northampton Co.,NC
Olin,NC
Oxford,NC
Pamplici?,NC
Pamplier?,NC
Person County,NC
Raleigh,NC
Randolph,NC
Randolph Co.,NC
Rowan County,NC
Rowan Cty,NC
Rutherford,NC
Salem,NC
Statesville,NC
Stokes Co.,NC
Trinity,NC
Wake Forest,NC
Weldon,NC
Williamsboro,NC
Williamston,NC
Wilmington,NC
Wilson,NC
NA,NC
Bismark,ND
Fort Totten,ND
Ft Badford,ND
Ft. Stevenson,ND
Brownsville,NE
Brownville,NE
Crete,NE
Dakotah City,NE
Falls City,NE
Fremont,NE
Ft. McPherson,NE
Ft. Robinson,NE
Lincoln,NE
Nebraska City,NE
Omaha,NE
Otoe County,NE
NA,NE
Acworth,NH
Alstead,NH
amherst,NH
Amherst,NH
Andover,NH
Antrim,NH
Ashland,NH
Ashuelot,NH
Barnstead,NH
Barrington,NH
Bath,NH
Bedford,NH
Bethlehem,NH
Boscawen,NH
Bow,NH
Bradford,NH
Brentwood,NH
Bridgewater,NH
Bristol,NH
Brookfield,NH
Brookline,NH
Campton,NH
Canaan,NH
Candia,NH
Canterbury,NH
Cenre Harbor,NH
Charleston,NH
Charlestown,NH
Cheshire,NH
Chester,NH
Chichester,NH
Claremont,NH
Colebrook and Monadnock,NH
Concord,NH
Contoocook,NH
Conway and Bartlett,NH
Cornish,NH
Corydon,NH
Danbury,NH
Deerfield,NH
Deering,NH
Derry,NH
Dover,NH
Dublin,NH
Dunbarton,NH
Durham,NH
East Franklin,NH
East Kingston,NH
East Lebanon,NH
East Rindge,NH
Eaton,NH
Effingham,NH
Enfield,NH
Epping,NH
Epsom,NH
Exeter,NH
Farmington,NH
Fisherville,NH
Fitzwilliam,NH
Francestown,NH
Franconia,NH
Franklin,NH
Gilford,NH
Gilmanton,NH
Gilsum,NH
Goffstown,NH
Goshen,NH
Grafton,NH
Grafton and Danbury,NH
Grantham,NH
Great Falls,NH
Greenfield,NH
Greenland,NH
Groton,NH
Groton and Heben,NH
Hampstead,NH
Hampton,NH
Hampton Falls,NH
Hancock,NH
Hanover,NH
"Hanover, Lebanon, and Canaan",NH
Haverhill,NH
Henniker,NH
Hillsborough,NH
Hinsdale,NH
Holderness,NH
Hollis,NH
Hopkinton,NH
Hudson,NH
Jackson,NH
Jaffrey,NH
Keene,NH
Kensington,NH
Kingston,NH
Laconia,NH
Lake Village,NH
Lancaster,NH
Landaff,NH
Langdon,NH
Lebanon,NH
Lee,NH
Lempster,NH
Lisbon,NH
Litchfield,NH
Litchfield and Merrimack,NH
Littleton,NH
London,NH
Londonderry,NH
Lyman,NH
Lyme,NH
Lyndeborough,NH
Manchester,NH
Marlborough,NH
Marlow,NH
Mason,NH
Meredith,NH
Meriden,NH
Merrimack,NH
Middleton,NH
Milford,NH
Milton,NH
Moultonborough,NH
Moultonborough and Sandwich,NH
Mount Vernon,NH
Mt. Vernon,NH
Nashua,NH
Nelson,NH
New Boston,NH
New Chester,NH
New Durham,NH
New Hampton,NH
New Ipswich,NH
New Ispwich,NH
New London,NH
New Market,NH
Newington,NH
Newport,NH
Newton,NH
North Enfield,NH
North Guilford,NH
North Hampton,NH
Northfield,NH
Northwood,NH
Nottingham,NH
Orford,NH
Ossipee and Wolfeborough,NH
Oxford,NH
Packersfield,NH
Pelham,NH
Pembroke,NH
"Pemigewasset, Peeling",NH
Penacook,NH
Penbroke,NH
Peterboro,NH
Peterborough,NH
Pittsfield,NH
Plainfield,NH
Plymouth,NH
Poplin,NH
Portsmouth,NH
Richmond,NH
Rindge,NH
Rochester,NH
Rumney,NH
Rye,NH
Salem,NH
Salisbury,NH
Salmon Falls,NH
Sambornton Bridge,NH
Sanbornton,NH
Sanbornton Bridge,NH
Sanborton Bridge,NH
Sandown,NH
Sandwich,NH
Seabrook,NH
Shaker Village,NH
Shoreham,NH
Social Library,NH
Sommersworth,NH
Springfield,NH
Stewartstown,NH
Stoddard,NH
Stratham,NH
Sullivan,NH
Suncook,NH
Surry,NH
Sutton,NH
Swanzey,NH
Tamworth,NH
Temple,NH
Troy,NH
Tuftonborough,NH
Turtonborough,NH
Tyngsborough and Dunstable,NH
Union,NH
Unity,NH
Wakefield,NH
Walpole,NH
Warner,NH
Warren,NH
Warren and Wentworth,NH
Washington,NH
Weare,NH
Wendell,NH
Wentworth,NH
West Lebanon,NH
Westmoreland,NH
Whitefield,NH
Wilton,NH
Wincehster,NH
Windham,NH
Wolfborough,NH
Wolfeborough,NH
Allowaystown,NJ
Amboy,NJ
Amwell,NJ
Arneytown,NJ
Ateo,NJ
Atlantic City,NJ
Basking Ridge,NJ
Belvidere,NJ
Beverly,NJ
Bloomfield,NJ
Bordentown,NJ
Bricksburg,NJ
Bridgeton,NJ
Burlington,NJ
Caldwell,NJ
Camden,NJ
Cranford,NJ
Cream Ridge,NJ
Dover,NJ
Egg Harbor City,NJ
Elizabeth,NJ
Elizabethtown,NJ
Elzizabeth,NJ
Evesham,NJ
Fairfield,NJ
Flemington,NJ
Florence,NJ
Forest Grove,NJ
Franklinville,NJ
Freehold,NJ
Greenwich,NJ
Hackensack,NJ
Hackettstown,NJ
Haddonfield,NJ
Hamilton Square,NJ
Hancock's Bridge,NJ
Hardwick,NJ
Hoboken,NJ
Hopewell,NJ
Jamesburg,NJ
Jersey City,NJ
Kingston,NJ
Lakewood,NJ
Livingston,NJ
Lodi,NJ
Madison,NJ
Matawan,NJ
Mendham,NJ
Middlebush,NJ
Millville,NJ
Montclair,NJ
Moorestown,NJ
Morrestown,NJ
Morristown,NJ
Mount Holly,NJ
Mount Laurel,NJ
Mt. Holly,NJ
Mullica Hill,NJ
New Brunswick,NJ
New Market,NJ
newark,NJ
Newark,NJ
Newton,NJ
Orange,NJ
Paterson,NJ
Pennington,NJ
Perth Amboy,NJ
Pittsgrove,NJ
Plainfield,NJ
Princeton,NJ
Rahway,NJ
Red Bank,NJ
Ringoes,NJ
Rockaway,NJ
Roxbury and Chester,NJ
Salem,NJ
Scotch Plains,NJ
Sharptown,NJ
Shiloh,NJ
Shrewsbury,NJ
Somerville,NJ
South Hanover,NJ
South Orange,NJ
South Vineland,NJ
Summit,NJ
Swedesboro,NJ
trenton,NJ
Trenton,NJ
Tuckerton,NJ
Upper Greenwich,NJ
Upper Penns Neck,NJ
Vincentown,NJ
Vineland,NJ
West Hoboken,NJ
Woodbridge,NJ
Woodbury,NJ
Woodstown,NJ
Ft. Bayard,NM
Ft. Craig,NM
Ft. Stanton,NM
Las Vegas,NM
Santa Fe,NM
Sante Fe,NM
Silver City,NM
NA,NM
Carlin,NV
Carson City,NV
Gold Hill,NV
Virginia City,NV
Albany,NY
Albion,NY
Alfred,NY
Alfred Centre,NY
Alleghany,NY
Amber,NY
Annandale,NY
Attica,NY
Auburn,NY
Aurora,NY
Ballston,NY
Batavia,NY
Bath,NY
Bay Ridge,NY
Beacon,NY
Bedford,NY
Belleville,NY
Belmont,NY
Bennington,NY
Binghampton,NY
Binghamton,NY
Binhampton,NY
Blooming Grove,NY
Bridgehampton,NY
Brockport,NY
brooklyn,NY
Brooklyn,NY
Buffalo,NY
Buffaol,NY
Canandaigua,NY
Canandaigua?,NY
Canenlaigua,NY
Canton,NY
Carmel,NY
Castle Creek,NY
Catskill,NY
Champlain,NY
Charleston,NY
Chittenago,NY
Clarkson,NY
Clifton Springs,NY
Clinton,NY
Cohoes,NY
Cohoes?,NY
Cold Spring,NY
College Point,NY
Collins,NY
Conervango,NY
Cooperstown,NY
Corning,NY
Cornwall,NY
Cortlandville,NY
Cuba,NY
Dannemora,NY
Dunkink,NY
Dunkirk,NY
East Hampton,NY
East Maine,NY
East New York,NY
Elizabethtown?,NY
Elmira,NY
Elmira?,NY
Farmingdale,NY
Flushing,NY
Fonda,NY
Fordham,NY
Fredonia,NY
Genesee,NY
Geneseo,NY
Geneseo Village,NY
Geneva,NY
Glens Falls,NY
Goshen,NY
Governors Island,NY
Greenwich,NY
Hamilton,NY
Harlem,NY
Hartwick,NY
Havana,NY
Henrietta,NY
Herkeimer,NY
Hess Road,NY
Hicksville,NY
Homestead,NY
Hornellsville,NY
Hudson,NY
Huntington,NY
Ilion,NY
Ithaca,NY
Jamaica,NY
Jamestown,NY
Kingston,NY
Le Roy,NY
LeRoy,NY
Liederkranz,NY
Lina,NY
Little Falls,NY
Little Valley,NY
Louisville,NY
Lowville,NY
Ludlow,NY
Lyons,NY
Maine,NY
Manhattan,NY
Matteawan,NY
McGranville,NY
Mendon,NY
Middletown,NY
Millbrook,NY
Mineola,NY
Monticello,NY
Morrisville,NY
Mount Vernon,NY
Mt. Kisco,NY
Mt. Vernon,NY
Mumford,NY
Murray,NY
Naples,NY
New Brighton,NY
New Lebanon,NY
New Rochelle,NY
new york,NY
New York,NY
Newburg,NY
Newburgh,NY
Niagara Falls,NY
Nimrods?,NY
North Hampstead? (Queens County),NY
North Penfield,NY
Northfield,NY
Norwich,NY
Nyack,NY
Ogden,NY
Olean,NY
Oneida,NY
Oswego,NY
Oyster Bay,NY
Parma,NY
Penfield,NY
Penn Yan,NY
Peughkeepsie?,NY
Phelps,NY
Pittsford,NY
Plattsburgh,NY
Port Chester,NY
Portsmouth,NY
Poughkeepsie,NY
Randolph,NY
Rhinebeck,NY
Richmond,NY
Riverhead,NY
rochester,NY
Rochester,NY
Rome,NY
Rondout,NY
Roundout,NY
Rush,NY
Rye,NY
Sachell's Harbor,NY
Sag Harbor,NY
Sageville,NY
Sand Lake,NY
Saratoga Springs,NY
Saugerties,NY
Schenectady,NY
Schnectady,NY
Schoharie,NY
Scottsville,NY
Seneca,NY
Setauket,NY
Sing Sing,NY
Skeneateles,NY
Somers,NY
Springfield,NY
Springville,NY
Stamford,NY
Stanfordville,NY
Stapleton,NY
Starkey,NY
Staten Island,NY
Stephentown,NY
Stratford,NY
Strathmore,NY
Success,NY
Suspension Bridge,NY
Sweden,NY
Syracuse,NY
Tarrytown,NY
Thorn Hill,NY
Trenton,NY
Troy,NY
Utica,NY
Vernon,NY
Walden,NY
Wappinger's Falls,NY
Watertown,NY
Watkins,NY
Weestchester,NY
Wellsville,NY
West Hennietta,NY
West Mendon,NY
West Point,NY
West Troy,NY
Westchester,NY
Westchester County,NY
Wheatland,NY
White Plains,NY
Willard,NY
Willets Point,NY
Yonkers,NY
Yorkville,NY
NA,NY
Ada,OH
Akron,OH
Alliance,OH
Amesville,OH
Amherst,OH
Andover,OH
Ashtabula,OH
Astabula,OH
Athens,OH
Aurora,OH
Austinburg,OH
Barlow,OH
Bedford,OH
Bellefontaine,OH
Bellevue,OH
Bellville,OH
Belpre,OH
Berea,OH
Berkshire,OH
Blendon,OH
Bloomfield,OH
Bowling Green,OH
Brecksville,OH
Broceville,OH
Brookfield,OH
Brooklyn,OH
Bucyous,OH
Buffalo,OH
Burlington,OH
Burton,OH
Butler County,OH
Cadiz,OH
Canton,OH
Carlisle,OH
Carthage,OH
Carthagena,OH
Cass,OH
Chagrin Falls,OH
Champaign County,OH
Champeon,OH
Chester,OH
Cheviot,OH
Chilicothe,OH
Chillcothe,OH
Chillicathe,OH
Chillicothe,OH
cincinnati,OH
Cincinnati,OH
Cincinnatti,OH
Circleville,OH
Claridon,OH
Clarksfield,OH
Cleveland,OH
College Hill,OH
Columbia,OH
columbus,OH
Columbus,OH
Crestline,OH
Cuyahoga Falls,OH
Dane,OH
Darby Creek,OH
Darke County,OH
Darrtown,OH
Dayton,OH
Defiance,OH
Defiance?,OH
Delaware,OH
Donnellsville .,OH
Donnelsville,OH
Dover,OH
Dresden,OH
Eaton,OH
Eden,OH
Eldridge,OH
Elizabethtown,OH
Elyria,OH
Euclid,OH
Fairfield,OH
Fayete County,OH
Fearing,OH
Fitchville,OH
Flat Rock,OH
Franklin,OH
Franklin Township,OH
Frederickstown,OH
Fredonia,OH
Fremont,OH
Galbrath,OH
Galbreath,OH
Galbreath Sketchio,OH
Gambier,OH
Glendale,OH
Granger,OH
Granville,OH
Granville?,OH
Greene,OH
Greenfield,OH
Greensville,OH
Greenville,OH
Guernesey,OH
Guilford,OH
Gustavus,OH
Hamilton,OH
Hamilton and Rossville,OH
Hanover,OH
Harlem,OH
Harmar,OH
Harpersfield,OH
Harrison,OH
Harrisville,OH
Hartford,OH
Highland,OH
Hillsborough,OH
Hinckley,OH
Hiram,OH
Hopewell,OH
Hubbard,OH
Hudson,OH
Ivanton,OH
Jefferson,OH
Kalida,OH
Kendal,OH
Kennard,OH
Lagrange,OH
Lancaster,OH
Lebanon,OH
Lebanon?,OH
Lee,OH
Lenox,OH
Lewis Centre,OH
Lexington,OH
Linton,OH
Litchfield,OH
Little Sandy (Little Sandusky),OH
London,OH
Lorain County,OH
Loveland,OH
Lyme; Ridgefield,OH
Madison,OH
Mansfield,OH
Marietta,OH
Martinsville,OH
Marysville,OH
Massillon,OH
Massilon,OH
Mayfield,OH
McConnellsville,OH
McConnelsville,OH
Medina,OH
Mercer County,OH
Mesopotamia,OH
Miami County,OH
Miamisburg,OH
Middleberry,OH
Milan,OH
Milford,OH
Monroe,OH
Monroeville,OH
Montville,OH
Morgan; Crosby,OH
Mount Vernon,OH
Mt. Union,OH
Nelson,OH
Nelsonville,OH
Neville,OH
New Athens,OH
New Carlisle,OH
New Concord,OH
New London,OH
New Lyme,OH
New Paris,OH
New Philadelphia,OH
Newark,OH
Newburg,OH
Newburgh,OH
Newtown,OH
North Royalton,OH
Northwood,OH
Norwalk,OH
Norwark,OH
Oberlin,OH
Olive,OH
Olmsted,OH
Orange,OH
Orwell,OH
Ottawa,OH
Oxford,OH
Paddy's Run,OH
Painesville,OH
Paris,OH
Parma,OH
Penfield,OH
Perrysburgh,OH
Plain,OH
Poland,OH
Port Clinton,OH
Port Washington,OH
Portland,OH
Portsmouth,OH
Potter,OH
Preble County,OH
Ravenna,OH
Reading,OH
Richfield,OH
Richmond,OH
Ripley,OH
Rome,OH
Roscoe,OH
Ruggler,OH
Rutland,OH
Salem,OH
Sandusky,OH
Scio,OH
Selena Township,OH
Seneca Co.,OH
Sharon Center,OH
Sidney,OH
South Amherst,OH
Springboro,OH
Springdale,OH
Springfield,OH
Steubenville,OH
Sunbury,OH
"Sunbury, Berkshire",OH
Tallmadge,OH
Tallmadge Township,OH
Thompson,OH
Tiffin,OH
toledo,OH
Toledo,OH
Troy,OH
Trumbull Co.,OH
Twinsburg,OH
Union Village,OH
Urbana,OH
Utica,OH
Venice,OH
Vermilion,OH
Vernon,OH
Wadsworth,OH
Warren,OH
Washington,OH
Waterford,OH
Wauseon,OH
Waverly Village,OH
"Wayne, Cherry Valley",OH
Waynesville,OH
Wellington,OH
Wellsville,OH
West Canaan,OH
West Geneva,OH
West Lodi,OH
Westerville,OH
Westfield,OH
Whipstown,OH
Wilberforce,OH
Williamsburg,OH
Williamsfield,OH
Willoughby,OH
Wilmington,OH
Windham,OH
Windsor,OH
Woodstock,OH
Wooster,OH
Worthington,OH
Worthington?,OH
Xenia,OH
Yellow Spring,OH
Yellow Springs,OH
Youngstown,OH
Zanesville,OH
Indian Terr.,OK
Indian Territory - Tallequah,OK
Albany,OR
Amity,OR
Astoria,OR
Astoria?,OR
Benton Co.,OR
Butte Creeke,OR
Clackamas Co.,OR
Clatsop Co.,OR
Columbia,OR
Coos County,OR
Corvallis,OR
Dalles,OR
Eugene,OR
Forest Grove,OR
Ft. Klamath,OR
Ft. Stevens,OR
Ft. Vancouver,OR
Jackson Co.,OR
Jackson County,OR
Lapwai,OR
Manning/Clatsop Co.,OR
Manning/Grant Co,OR
McMinnville,OR
Multnomal Masonic Lodge?,OR
Oregon City,OR
Philomath,OR
Portland,OR
Protland,OR
Salem,OR
Waiiltpu,OR
Willamette,OR
Yam Hill,OR
Allegheny,PA
Allegheny City,PA
Allentown,PA
Altoona,PA
Andalusia,PA
Anderson,PA
Annville,PA
Ashland,PA
Attlelborough,PA
Bart Township,PA
Beaty,PA
Bedford,PA
Beers,PA
Bellefonte,PA
Bethleham,PA
Bethlehem,PA
Bettysburg,PA
Birmingham,PA
Bloomsburg,PA
Bridgewater,PA
Bristol,PA
Brookville,PA
Brownsville,PA
Buckingham,PA
Burgettstown,PA
Butler,PA
Camp Hill,PA
Canonsburg,PA
Carbondale,PA
Carlisle,PA
Centerville,PA
Chambersburg,PA
Charlestown,PA
Chester,PA
Chester Co.,PA
Chester Springs,PA
Cnessona,PA
Coatsville,PA
Collegeville,PA
Columbia,PA
Concordville,PA
Conewago,PA
Coudersport,PA
Cressona,PA
Danville,PA
Darby,PA
Dayton,PA
Dimocksville,PA
Doylestown,PA
Easton,PA
Ebensburg,PA
Edinboro,PA
Erie,PA
Ernest,PA
Fallsington,PA
Frankford,PA
Franklin,PA
Fredericktown,PA
Germantown,PA
Gettysburg,PA
Girard,PA
Glenside,PA
Goldsboro,PA
Greensburgh,PA
greenville,PA
Greenville,PA
Hainesburgh,PA
Hallenbeck,PA
Harleysville,PA
Harrisburg,PA
Hartford,PA
Haverford,PA
Hoboken,PA
Honesdale,PA
Honeybrook,PA
Honeybrook Township,PA
Hopewell,PA
Horsham,PA
Hulmesville,PA
Irvington,PA
Jenkinstown,PA
Jenkintown,PA
Jewett,PA
Johnstown,PA
Kennett Square,PA
King of Prussia,PA
Kittaning,PA
Kittanning,PA
Lamberton,PA
Lancanster,PA
Lancaster,PA
Lanchaster,PA
Latrobe,PA
Lebanon,PA
Lewisburg,PA
Lewistown,PA
Littlestown,PA
Lock Haven,PA
London Grove,PA
London Grove Township,PA
Londongrove,PA
Loretto,PA
Lower Merion,PA
Makefield,PA
Manayunk,PA
Manch Chunk,PA
Manheim,PA
Marietta,PA
Mauch Chunk?,PA
McAlisterville,PA
Meadville,PA
Mechanicsburg,PA
Media,PA
Mercersburg,PA
Merion,PA
Mingo Creek?,PA
Monongahela,PA
Montgomery,PA
Montgomery Twp.,PA
Montrose,PA
Mountville,PA
Mt. Joy,PA
Mt. Pleasant,PA
Muncy,PA
Nazareth,PA
New Bedford,PA
New Berlin,PA
New Brighton,PA
New Castle,PA
New London,PA
New London Township,PA
New Wilmington,PA
Newtown,PA
Nicetown,PA
Norristown,PA
North East,PA
Oil City,PA
Orwigsboro,PA
Oxford,PA
Palmer,PA
Paradise Township,PA
Peach Bottom,PA
Penn's Square,PA
Perkioman Bridge,PA
Perkiomen,PA
phiadelphia,PA
Philadelphia,PA
Philadelphia?,PA
Philadephia,PA
Philipsburg,PA
Phoenixville,PA
Pittsburgh,PA
Pittston,PA
Plumstead Twp.,PA
Plymouth,PA
Port Carbon,PA
Pottstown,PA
pottsville,PA
Pottsville,PA
Quakertown,PA
Radnor,PA
Radnor Twp.,PA
Reading,PA
Renova,PA
Renovo,PA
Roxborough,PA
Scranton,PA
Selin's Grove,PA
Semin's Grove,PA
Sewickley,PA
Shenango,PA
Shippensberg,PA
Shippensburg,PA
Somerset,PA
South Bethlehem,PA
South Hermitage,PA
Spring Garden,PA
Springfield,PA
St. Clair,PA
St. Mary's,PA
Stroudsburg,PA
Susquehanna,PA
Susquehanna Depot,PA
Swarthmore,PA
Tamaqua,PA
Tarentum,PA
Ten Mile (Washington Co.),PA
Tidionte,PA
Tioga,PA
Titusville,PA
Towanda,PA
Uniontown,PA
Unionville,PA
Upland,PA
Uplands,PA
Upper Dublin,PA
Villanova,PA
Warren,PA
Washington,PA
Washington Co.,PA
Washington County,PA
Wayne,PA
Waynesboro,PA
Waynesburg,PA
Wellsboro,PA
West Chester,PA
West Chester Borough,PA
West Grove,PA
Westchester,PA
Whitpain,PA
Wilkes Barre,PA
Wilkes-Barre,PA
Williamsport,PA
Wormelsdorf,PA
Wormelsdorf?,PA
Wyoming,PA
Yardleyville,PA
York,PA
NA,PA
Anthony,RI
Ashaway,RI
Ashton,RI
Barrington,RI
Bristol,RI
Briston,RI
Burrellville,RI
Burrillville,RI
Camden,RI
Central Falls,RI
Centredale,RI
Charlestown,RI
Chepacket,RI
Coventry,RI
Cranston,RI
Cumberland,RI
Cumberland Hill,RI
East Greenwich,RI
East Providence,RI
Exeter,RI
Fort Adams,RI
Foster,RI
Glocester,RI
Greenwich,RI
Harrisville,RI
Hopkinton,RI
